Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.066455,4.5644E-06,0.0008838,0,0,0,580.87,53.088,0.0009714,-0.020046,81.713,-0.0006525,111.33,0,0,0,0,0,0,package://auv_model/meshes/base_link.STL,1,0.42745,0.37255,1,0,0,0,0,0,0,package://auv_model/meshes/base_link.STL,,AUV with appendage-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0,-5.55111512312578E-17,0.00582005576577271,0,0,0,0.219082454356588,0.000553877896632537,2.48186495508586E-20,-2.28870535735766E-19,0.000553877896632537,-2.06795153138257E-20,8.46424691524212E-05,0,0,0,0,0,0,package://auv_model/meshes/link1.STL,0.972549019607843,1,0.152941176470588,1,0,0,0,0,0,0,package://auv_model/meshes/link1.STL,,螺旋桨-3,Origin_1#thruster,基准轴1,1#thruster,continuous,0.38014,0,-0.299,1.5708,0,0,base_link,0,0,1,0,0,0,6.28,,,,,,,,
link2,-5.55111512312578E-17,0,0.0058200557657727,0,0,0,0.219082454356588,0.000553877896632537,3.90293539805782E-20,-2.0105658763867E-19,0.000553877896632537,-5.29395592033938E-20,8.46424691524212E-05,0,0,0,0,0,0,package://auv_model/meshes/link2.STL,0.972549019607843,1,0.152941176470588,1,0,0,0,0,0,0,package://auv_model/meshes/link2.STL,,螺旋桨-2,Origin_2#thruster,基准轴2,2#thruster,continuous,0.38014,0,0.299,1.5708,0,0,base_link,0,0,1,0,0,0,6.28,,,,,,,,
link3,6.1523008909603E-13,-2.62841137743663E-12,0.00582005576576341,0,0,0,0.219082454356588,0.000553877896632537,-5.42101086242752E-20,-1.96942075992639E-19,0.000553877896632536,4.10774357144031E-20,8.4642469152421E-05,0,0,0,0,0,0,package://auv_model/meshes/link3.STL,0.972549019607843,1,0.152941176470588,1,0,0,0,0,0,0,package://auv_model/meshes/link3.STL,,螺旋桨-6,Origin_3#thruster,基准轴3,3#thruster,continuous,-0.32186,0,0,1.5708,0.22997,0,base_link,0,0,1,0,0,0,6.28,,,,,,,,
link4,-1.99840144432528E-15,1.96370697480575E-15,0.000820055765243202,0,0,0,0.219082454356588,0.000553877896632537,1.21972744404619E-19,1.10905631225746E-15,0.000553877896632537,-1.00842756476344E-16,8.46424691524214E-05,0,0,0,0,0,0,package://auv_model/meshes/link4.STL,0.972549019607843,1,0.152941176470588,1,0,0,0,0,0,0,package://auv_model/meshes/link4.STL,,螺旋桨-1,Origin_4#thruster,基准轴4,4#thruster,continuous,0.58765,0,0,0,0,0.090567,base_link,0,0,1,0,0,0,6.28,,,,,,,,
link5,3.33066907387547E-16,-1.85296222809939E-13,0.0858200557661546,0,0,0,0.219082454356588,0.000553877896632534,0,-1.9879085977734E-18,0.000553877896632534,1.01373530375499E-15,8.46424691524206E-05,0,0,0,0,0,0,package://auv_model/meshes/link5.STL,0.972549019607843,1,0.152941176470588,1,0,0,0,0,0,0,package://auv_model/meshes/link5.STL,,螺旋桨-5,Origin_5#thruster,基准轴5,5#thruster,continuous,-0.80686,0,-0.372,1.5708,-0.42763,-1.5708,base_link,0,0,1,0,0,0,6.28,,,,,,,,
link6,-3.33066907387547E-16,-1.65756297576536E-13,0.0858200557661754,0,0,0,0.219082454356588,0.000553877896632537,0,1.59251838442207E-18,0.000553877896632536,9.06346601104337E-16,8.46424691524205E-05,0,0,0,0,0,0,package://auv_model/meshes/link6.STL,0.972549019607843,1,0.152941176470588,1,0,0,0,0,0,0,package://auv_model/meshes/link6.STL,,螺旋桨-4,Origin_6#thruster,基准轴6,6#thruster,continuous,-0.80686,0,0.372,1.5708,-0.62074,-1.5708,base_link,0,0,1,0,0,0,6.28,,,,,,,,
link_sonar,0.142282918239957,8.5727986835149E-05,0.207904431552362,0,0,0,0.0502654824574367,2.05250720034533E-05,0,1.83670992315982E-38,2.05250720034533E-05,-1.94272883206887E-38,4.02123859659494E-05,0,0,0,0,0,0,package://auv_model/meshes/link_sonar.STL,1,1,1,1,0,0,0,0,0,0,package://auv_model/meshes/link_sonar.STL,,sonar-1,Origin_sonar_frame,基准轴7,sonar_frame,fixed,0.59761,0.00090443,0,1.5708,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
link_altitude,0,0,0.005,0,0,0,0.0196349540849362,3.23158619314575E-06,0,6.44898432852067E-39,3.23158619314575E-06,-4.74299031266813E-39,6.13592315154257E-06,0,0,0,0,0,0,package://auv_model/meshes/link_altitude.STL,1,1,1,1,0,0,0,0,0,0,package://auv_model/meshes/link_altitude.STL,,altitude-1,Origin_altitude_frame,基准轴8,altitude_frame,fixed,-0.28636,-0.28231,0.13009,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
link_dvl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://auv_model/meshes/link_dvl.STL,1,1,1,1,0,0,0,0,0,0,package://auv_model/meshes/link_dvl.STL,,dvl-1,Origin_dvl_frame,基准轴9,dvl_frame,fixed,0.39314,-0.28,0,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
